timestamp,count,uniques,collected_at
2026-04-25T00:00:00Z,12,8,2026-05-10T05:46:21Z
2026-04-26T00:00:00Z,1,1,2026-05-10T05:46:21Z
2026-04-27T00:00:00Z,1,1,2026-05-12T05:48:39Z
2026-04-28T00:00:00Z,1,1,2026-05-12T05:48:39Z
2026-04-29T00:00:00Z,0,0,2026-05-12T05:48:39Z
2026-04-30T00:00:00Z,1,1,2026-05-12T05:48:39Z
2026-05-01T00:00:00Z,2,2,2026-05-12T05:48:39Z
2026-05-02T00:00:00Z,1,1,2026-05-12T05:48:39Z
2026-05-03T00:00:00Z,0,0,2026-05-12T05:48:39Z
2026-05-04T00:00:00Z,0,0,2026-05-12T05:48:39Z
2026-05-05T00:00:00Z,2,2,2026-05-12T05:48:39Z
2026-05-06T00:00:00Z,0,0,2026-05-12T05:48:39Z
2026-05-07T00:00:00Z,0,0,2026-05-12T05:48:39Z
2026-05-08T00:00:00Z,110,46,2026-05-12T05:48:39Z
2026-05-09T00:00:00Z,87,42,2026-05-12T05:48:39Z
2026-05-10T00:00:00Z,77,40,2026-05-12T05:48:39Z
TOTAL,295,145,2026-05-12T05:48:39Z
